Crude Oil Production Iraq Monthly,
https://www.eia.gov/opendata/qb.php?category=1039874&sdid=STEO.COPR_IZ.M,
22:32:52 GMT-0700 (Pacific Daylight Time),
Source: U.S. Energy Information Administration,
Month,Series ID: STEO.COPR_IZ.M million barrels per day
Nov-99,2.2
Oct-99,2.665
Sep-99,2.85
Aug-99,2.85
Jul-99,2.8
Jun-99,2.35
May-99,2.7
Apr-99,2.65
Mar-99,2.425
Feb-99,2.65
Jan-99,2.51
Dec-98,2.3
Nov-98,2.5
Oct-98,2.55
Sep-98,2.55
Aug-98,2.55
Jul-98,2.35
Jun-98,1.915
May-98,2.24
Apr-98,1.98
Mar-98,1.82
Feb-98,1.698
Jan-98,1.256
Dec-97,0.755278645
Nov-97,1.348016653
Oct-97,1.576741501
Sep-97,1.683804195
Aug-97,1.469678806
Jul-97,0.583978334
Jun-97,0.583978334
May-97,1.284752334
Apr-97,1.236087473
Mar-97,1.13875775
Feb-97,1.090092889
Jan-97,1.051161
Dec-96,0.882311936
Nov-96,0.545248949
Oct-96,0.545248949
Sep-96,0.545248949
Aug-96,0.545248949
Jul-96,0.545248949
Jun-96,0.545248949
May-96,0.545248949
Apr-96,0.545248949
Mar-96,0.545248949
Feb-96,0.545248949
Jan-96,0.545248949
Dec-95,0.555
Nov-95,0.555
Oct-95,0.555
Sep-95,0.555
Aug-95,0.555
Jul-95,0.555
Jun-95,0.555
May-95,0.555
Apr-95,0.555
Mar-95,0.555
Feb-95,0.555
Jan-95,0.555
Dec-94,0.55500024
Nov-94,0.55500024
Oct-94,0.55500024
Sep-94,0.55500024
Aug-94,0.55500024
Jul-94,0.55500024
Jun-94,0.55500024
May-94,0.55500024
Apr-94,0.55500024
Mar-94,0.54500024
Feb-94,0.54500024
Jan-94,0.54500024
Dec-93,0.54
Nov-93,0.54
Oct-93,0.53
Sep-93,0.53
Aug-93,0.5
Jul-93,0.5
Jun-93,0.5
May-93,0.5
Apr-93,0.5
Mar-93,0.5
Feb-93,0.5
Jan-93,0.5
