Crude Oil Production Kuwait Monthly,
https://www.eia.gov/opendata/qb.php?category=1039874&sdid=STEO.COPR_KU.M,
22:33:43 GMT-0700 (Pacific Daylight Time),
Source: U.S. Energy Information Administration,
Month,Series ID: STEO.COPR_KU.M million barrels per day
Mar-97,2.028597203
Feb-97,2.001613487
Jan-97,2.00932312
Dec-96,2.077
Nov-96,2.075
Oct-96,2.075
Sep-96,2.07
Aug-96,2.04
Jul-96,2.065
Jun-96,2.065
May-96,2.055
Apr-96,2.067
Mar-96,2.057
Feb-96,2.057
Jan-96,2.0375
Dec-95,2.015
Nov-95,2.07
Oct-95,2.065
Sep-95,2.035
Aug-95,2.075
Jul-95,2.06
Jun-95,2.05
May-95,2.05
Apr-95,2.07
Mar-95,2.06
Feb-95,2.07
Jan-95,2.07
Dec-94,2.04075048
Nov-94,2.03577294
Oct-94,2.03577294
Sep-94,2.04075048
Aug-94,2.04075048
Jul-94,2.04075048
Jun-94,2.04075048
May-94,2.04075048
Apr-94,2.01088574
Mar-94,1.99595361
Feb-94,1.9884873
Jan-94,1.98599853
Dec-93,2.028095
Nov-93,2.023149
Oct-93,2.023149
Sep-93,1.998416
Aug-93,2.023149
Jul-93,1.919271
Jun-93,1.756033
May-93,1.694201
Apr-93,1.627422
Mar-93,1.632369
Feb-93,1.845072
Jan-93,1.657102
