Crude Oil Production Iran Monthly,
https://www.eia.gov/opendata/qb.php?category=1039874&sdid=STEO.COPR_IR.M,
22:32:20 GMT-0700 (Pacific Daylight Time),
Source: U.S. Energy Information Administration,
Month,Series ID: STEO.COPR_IR.M million barrels per day
Nov-99,3.449838984
Oct-99,3.499836651
Sep-99,3.449838984
Aug-99,3.499836651
Jul-99,3.479837584
Jun-99,3.379842251
May-99,3.399841318
Apr-99,3.449838984
Mar-99,3.759824516
Feb-99,3.889818449
Jan-99,3.629830584
Dec-98,3.55
Nov-98,3.6
Oct-98,3.45
Sep-98,3.65
Aug-98,3.4
Jul-98,3.55
Jun-98,3.8
May-98,3.6
Apr-98,3.8
Mar-98,3.6
Feb-98,3.6
Jan-98,3.6
Dec-97,3.65
Nov-97,3.65
Oct-97,3.6
Sep-97,3.45
Aug-97,3.65
Jul-97,3.65
Jun-97,3.7
May-97,3.6
Apr-97,3.65
Mar-97,3.65
Feb-97,3.65
Jan-97,3.65
Dec-96,3.6
Nov-96,3.65
Oct-96,3.6
Sep-96,3.7
Aug-96,3.68
Jul-96,3.65
Jun-96,3.65
May-96,3.6
Apr-96,3.65
Mar-96,3.68
Feb-96,3.65
Jan-96,3.7
Dec-95,3.65
Nov-95,3.6
Oct-95,3.7
Sep-95,3.6
Aug-95,3.65
Jul-95,3.5
Jun-95,3.55
May-95,3.8
Apr-95,3.6
Mar-95,3.45
Feb-95,3.65
Jan-95,3.55
Dec-94,3.61786328
Nov-94,3.71739184
Oct-94,3.61786328
Sep-94,3.66762768
Aug-94,3.61786328
Jul-94,3.56809912
Jun-94,3.66762768
May-94,3.56809912
Apr-94,3.51833471
Mar-94,3.66762768
Feb-94,3.56809912
Jan-94,3.61786328
Dec-93,3.58849
Nov-93,3.443011
Oct-93,3.58849
Sep-93,3.539997
Aug-93,3.394518
Jul-93,3.685477
Jun-93,3.539997
May-93,3.539997
Apr-93,3.394518
Mar-93,3.58849
Feb-93,3.636983
Jan-93,3.539997
