Date,High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz)
2020-01-09 0:00,51237.36,49390.14,50475.06,,1593.66,1536.21,1569.95
2019-12-10 0:00,51797.1,46946.52,50089.9,,1611.07,1460.2,1557.97
2019-11-10 0:00,47713.8,46482.91,46979.64,,1484.07,1445.78,1461.23
2019-10-11 0:00,48802.42,46827.72,46907.94,,1517.92,1456.5,1459
2019-09-11 0:00,49376.31,46915.66,48036.75,,1535.77,1459.24,1494.11
2019-08-12 0:00,50062.09,47594.12,47811.86,,1557.11,1480.34,1487.12
2019-07-13 0:00,48546.34,45022.62,48267.67,,1509.96,1400.36,1501.29
2019-06-13 0:00,46255.76,42840.63,45515.33,,1438.71,1332.49,1415.69
2019-05-14 0:00,43349.09,40823.25,42878.65,,1348.31,1269.75,1333.68
2019-04-14 0:00,41852.4,40720.69,41851.67,,1301.76,1266.56,1301.73
2019-03-15 0:00,42583.5,41187.44,41492.95,,1324.49,1281.07,1290.58
2019-02-13 0:00,43299.1,41203.91,41673.07,,1346.75,1281.58,1296.18
2019-01-14 0:00,42641.45,41052.32,42127.85,,1326.3,1276.87,1310.32
2018-12-15 0:00,41737.78,39735.11,41415.63,,1298.19,1235.9,1288.17
2018-11-15 0:00,40216.97,38847.99,39827.22,,1250.89,1208.31,1238.77
2018-10-16 0:00,39972.7,38467.81,38935.68,,1243.29,1196.48,1211.04
2018-09-16 0:00,39651.52,37978.55,39446.39,,1233.3,1181.26,1226.92
2018-08-17 0:00,39040.81,37681.88,38386.06,,1214.3,1172.04,1193.94
2018-07-18 0:00,39712.44,37318.42,37786.37,,1235.19,1160.73,1175.29
2018-06-18 0:00,41283.17,39427.43,39456.76,,1284.05,1226.33,1227.24
2018-05-19 0:00,42094.17,41009.72,41188.4,,1309.28,1275.54,1281.1
2018-04-19 0:00,43551.48,41335.41,41580.56,,1354.6,1285.67,1293.3
2018-03-20 0:00,43888.5,42030.83,43426.17,,1365.08,1307.3,1350.7
2018-02-18 0:00,43442.57,41892.58,42348.16,,1351.21,1303,1317.18
2018-01-19 0:00,43917.04,42032.12,43315.9,,1365.97,1307.35,1347.28
2017-12-20 0:00,43220.33,40558.65,42694.74,,1344.3,1261.52,1327.95
2017-11-20 0:00,41764.62,39765.73,40571.99,,1299.02,1236.85,1261.93
2017-10-21 0:00,41677.66,40664.43,41587.79,,1296.32,1264.81,1293.52
2017-09-21 0:00,42223.25,40544.66,41169.67,,1313.29,1261.08,1280.52
2017-08-22 0:00,43622.7,41162.04,41759.16,,1356.82,1280.28,1298.86
2017-07-23 0:00,41818.23,40002.36,41528.64,,1300.69,1244.21,1291.69
2017-06-23 0:00,40470.23,38757.24,40347.42,,1258.76,1205.48,1254.95
2017-05-24 0:00,41655.95,39917.56,40235.37,,1295.64,1241.57,1251.46
2017-04-24 0:00,41096.53,39057.37,40222.51,,1278.24,1214.82,1251.06
2017-03-25 0:00,41650.97,39864.03,40968.25,,1295.49,1239.91,1274.26
2017-02-23 0:00,40632.03,38423.44,39973.26,,1263.8,1195.1,1243.31
2017-01-24 0:00,40017.71,37969.39,39770.23,,1244.69,1180.98,1236.99
2016-12-25 0:00,39230.18,36387.81,39143.13,,1220.19,1131.79,1217.49
2016-11-25 0:00,38506.79,36110.59,37654.47,,1197.7,1123.16,1171.18
2016-10-26 0:00,42984.58,37984.58,38139.95,,1336.97,1181.45,1186.29
2016-09-26 0:00,43151.93,39919.73,40976.45,,1342.18,1241.64,1274.51
2016-08-27 0:00,43489.19,41883.98,43033.05,,1352.67,1302.74,1338.48
2016-07-28 0:00,43960.68,42380.39,42477.57,,1367.33,1318.18,1321.2
2016-06-28 0:00,44214.11,41979.07,43075.41,,1375.21,1305.7,1339.8
2016-05-29 0:00,43668.35,38580.01,42589.93,,1358.24,1199.97,1324.69
2016-04-29 0:00,41915.89,38808.2,38999.98,,1303.73,1207.07,1213.03
2016-03-30 0:00,40836.75,38877.65,40693.28,,1270.16,1209.23,1265.7
2016-02-29 0:00,41240.97,38858.92,39840.8,,1282.74,1208.65,1239.19
2016-01-30 0:00,40558.57,35874.61,39270.13,,1261.51,1115.83,1221.44
2015-12-31 0:00,36268.53,34043.94,35951.61,,1128.08,1058.88,1118.22
2015-12-01 0:00,35007.82,33645.6,34143.45,,1088.86,1046.5,1061.98
2015-11-01 0:00,36747.02,33855.94,34219,,1142.96,1053.04,1064.33
2015-10-02 0:00,38288.97,35537.94,36717.92,,1190.92,1105.35,1142.05
2015-09-02 0:00,37177.64,35350.39,35810.9,,1156.35,1099.52,1113.84
2015-08-03 0:00,37601.18,34761.23,36618.82,,1169.53,1081.2,1138.97
2015-07-04 0:00,37777.37,34648.3,35153.47,,1175.01,1077.68,1093.4
2015-06-04 0:00,38762.47,37219.47,37571.68,,1205.65,1157.65,1168.61
2015-05-05 0:00,39619.2,37907.58,38122.59,,1232.29,1179.06,1185.75
2015-04-05 0:00,39361.68,37633.9,38212.53,,1224.29,1170.55,1188.54
2015-03-06 0:00,39205.34,36753.53,38665.13,,1219.42,1143.16,1202.62
2015-02-04 0:00,40961.74,38285.75,38590.14,,1274.05,1190.82,1200.29
2015-01-05 0:00,42008.89,38050.41,40562.99,,1306.62,1183.5,1261.65
2014-12-06 0:00,39809.05,37589.05,38050.41,,1238.2,1169.15,1183.5
2014-11-06 0:00,39259.28,36751.52,38333.34,,1221.1,1143.1,1192.3
2014-10-07 0:00,40351.12,36592.05,36767.43,,1255.06,1138.14,1143.59
2014-09-07 0:00,40889.48,38045.26,38795.66,,1271.8,1183.34,1206.68
2014-08-08 0:00,42521.02,40426.35,40796.78,,1322.55,1257.4,1268.92
2014-07-09 0:00,43241.95,41175.04,42158.95,,1344.97,1280.69,1311.29
2014-06-09 0:00,42835.56,40201.45,42380.99,,1332.33,1250.4,1318.2
2014-05-10 0:00,42083.37,39904.98,40323.59,,1308.94,1241.18,1254.2
2014-04-10 0:00,42792.73,40797.57,41436.2,,1331,1268.95,1288.81
2014-03-11 0:00,44762.18,41087.25,42156.23,,1392.26,1277.96,1311.21
2014-02-09 0:00,43558.1,40680.15,43099.54,,1354.81,1265.29,1340.55
2014-01-10 0:00,41102.82,39471.17,40743.03,,1278.44,1227.69,1267.25
2013-12-11 0:00,40607.76,38074.12,39514.78,,1263.04,1184.24,1229.05
2013-11-11 0:00,41611.91,38966.3,40553.42,,1294.28,1211.99,1261.35
2013-10-12 0:00,43785.62,40257.56,41395.37,,1361.89,1252.15,1287.54
2013-09-12 0:00,44212.42,40609.45,40941.47,,1375.16,1263.1,1273.42
2013-08-13 0:00,46096.29,42327.42,43893.32,,1433.75,1316.53,1365.23
2013-07-14 0:00,43356.09,40856.53,42868.36,,1348.53,1270.78,1333.36
2013-06-14 0:00,44764.77,37975.02,41363.11,,1392.34,1181.16,1286.54
2013-05-15 0:00,45988.29,43051.54,44562.74,,1430.4,1339.05,1386.06
2013-04-15 0:00,48087.77,42513.05,45988.29,,1495.7,1322.3,1430.4
2013-03-16 0:00,51980.75,47543.9,47914.03,,1616.78,1478.78,1490.29
2013-02-14 0:00,53038.02,50045.66,51191.48,,1649.67,1556.59,1592.23
2013-01-15 0:00,54530.89,52775.9,52834.7,,1696.1,1641.51,1643.34
2012-12-16 0:00,54768.49,52367.15,53646.23,,1703.49,1628.8,1668.58
2012-11-16 0:00,56397.52,54191.88,54528.65,,1754.16,1685.56,1696.03
2012-10-17 0:00,56379.1,53789.52,55167.91,,1753.59,1673.04,1715.91
2012-09-17 0:00,57746.1,55611.93,56255.9,,1796.1,1729.72,1749.75
2012-08-18 0:00,57158.64,51794.79,57059.16,,1777.83,1611,1774.74
2012-07-19 0:00,52386.54,50280.65,51952.63,,1629.4,1563.9,1615.91
2012-06-19 0:00,52505.81,49793.16,50608.09,,1633.11,1548.74,1574.09
2012-05-20 0:00,52746.34,49308.69,52350.38,,1640.59,1533.67,1628.28
2012-04-20 0:00,53745.35,49118.53,51205.63,,1671.67,1527.76,1592.67
2012-03-21 0:00,54526.34,51862.43,52789.66,,1695.96,1613.1,1641.94
2012-02-20 0:00,57565.09,52567.34,53052.48,,1790.47,1635.03,1650.12
2012-01-21 0:00,56678.52,53063.47,55733.18,,1762.9,1650.46,1733.5
2011-12-22 0:00,53675.68,48968.25,53596.3,,1669.5,1523.08,1667.03
2011-11-22 0:00,56599,50296.87,51854.39,,1760.43,1564.41,1612.85
2011-10-23 0:00,57963.13,52612.38,53971.33,,1802.85,1636.43,1678.7
2011-09-23 0:00,56432.86,49441,52788.37,,1755.26,1537.79,1641.9
2011-08-24 0:00,61757.25,54797.42,56012.51,,1920.87,1704.39,1742.18
2011-07-25 0:00,61473.48,51586.19,59082.89,,1912.04,1604.51,1837.68
2011-06-25 0:00,52201.91,47584.09,51971.26,,1623.66,1480.03,1616.49
2011-05-26 0:00,50098.2,48203.95,48289.3,,1558.23,1499.31,1501.97
2011-04-26 0:00,50684.46,47041.73,49077.12,,1576.46,1463.16,1526.47
2011-03-27 0:00,48824.35,45373.1,48443.89,,1518.61,1411.26,1506.77
2011-02-25 0:00,46538.95,44491.26,45975.46,,1447.52,1383.83,1430
2011-01-26 0:00,45604.16,42078.75,45130.71,,1418.45,1308.8,1403.72
2010-12-27 0:00,45766.01,42546.29,42836.6,,1423.48,1323.34,1332.37
2010-11-27 0:00,45987.32,43537.58,44187.81,,1430.37,1354.17,1374.39
2010-10-28 0:00,45781.7,42560.38,43857.42,,1423.97,1323.78,1364.12
2010-09-28 0:00,44597.35,41351.17,42687.01,,1387.13,1286.17,1327.71
2010-08-29 0:00,41804.65,39631.81,41577.02,,1300.27,1232.69,1293.19
2010-07-30 0:00,40005.78,37496.06,39812.63,,1244.32,1166.26,1238.31
2010-06-30 0:00,40101.5,37231.08,37555.35,,1247.3,1158.02,1168.1
2010-05-31 0:00,40597.35,38494.52,39901.72,,1262.72,1197.31,1241.08
2010-05-01 0:00,40178.6,37242.56,38933.61,,1249.69,1158.37,1210.97
2010-04-01 0:00,37996.46,35755.59,37920.93,,1181.82,1112.12,1179.47
2010-03-02 0:00,36818.54,34903.96,35787.26,,1145.18,1085.63,1113.11
2010-01-31 0:00,36372.58,33620.57,35956.68,,1131.31,1045.72,1118.38
2010-01-01 0:00,37371.11,34554.72,34770.23,,1162.37,1074.77,1081.48
2009-12-02 0:00,39444.79,34575.37,35286.23,,1226.87,1075.41,1097.52
2009-11-02 0:00,38637.8,33529.2,38473.89,,1201.77,1042.87,1196.67
2009-10-03 0:00,34419.55,32214.54,33529.2,,1070.57,1001.98,1042.87
2009-09-03 0:00,32918.98,31340.91,32242.11,,1023.89,974.81,1002.84
2009-08-04 0:00,31531.48,29990.81,31402.81,,980.74,932.82,976.74
2009-07-05 0:00,30946.8,29112.57,30745.14,,962.55,905.5,956.28
2009-06-05 0:00,31552.8,29387.17,29987.75,,981.4,914.04,932.72
2009-05-06 0:00,31816.43,28816.64,31451.08,,989.6,896.3,978.24
2009-04-06 0:00,29528.81,27823.91,28859.08,,918.45,865.42,897.62
2009-03-07 0:00,31081.48,28439.74,28699.04,,966.74,884.57,892.64
2009-02-05 0:00,32317.28,28656.11,30204.04,,1005.18,891.3,939.45
2009-01-06 0:00,29876.09,25830.82,29116.97,,929.25,803.43,905.64
2008-12-07 0:00,28622.17,24293.04,27554.23,,890.25,755.6,857.03
2008-11-07 0:00,26666.71,22534.7,24313.52,,829.43,700.91,756.24
2008-10-08 0:00,29913.96,21956.54,23551.88,,930.43,682.92,732.55
2008-09-08 0:00,29712.16,23686.63,28582.77,,924.15,736.74,889.02
2008-08-09 0:00,27841.4,24911.12,26131.95,,865.96,774.82,812.79
2008-07-10 0:00,31754.75,27377.23,27538.81,,987.68,851.53,856.55
2008-06-10 0:00,30425.75,27605.67,29861.74,,946.35,858.63,928.8
2008-05-11 0:00,30072.71,27665.09,28729.24,,935.37,860.48,893.58
2008-04-11 0:00,30634.43,27206.71,28455.97,,952.84,846.22,885.08
2008-03-12 0:00,33189.62,28124.01,29849.47,,1032.31,874.75,928.42
2008-02-11 0:00,31908.27,28845.75,31270.56,,992.46,897.2,972.62
2008-01-12 0:00,30117.65,27312.6,29594.22,,936.76,849.52,920.48
2007-12-13 0:00,28868.54,25250.09,28803.99,,897.91,785.37,895.9
2007-11-13 0:00,26901.03,24857.27,26099.62,,836.72,773.15,811.79
2007-10-14 0:00,27182.14,23980.53,25445.55,,845.46,745.88,791.45
2007-09-14 0:00,24240.16,22645.49,24123.91,,753.95,704.35,750.34
2007-08-15 0:00,23010.98,20687.05,22724.78,,715.72,643.44,706.82
2007-07-16 0:00,22089.26,21156.66,21542.09,,687.05,658.05,670.03
2007-06-16 0:00,21518.12,20585.52,21455.18,,669.29,640.28,667.33
2007-05-17 0:00,21675.48,20713.94,21084.93,,674.18,644.28,655.81
2007-04-17 0:00,22304.84,21229,21298.72,,693.76,660.3,662.46
2007-03-18 0:00,22234.46,20922.32,22205.52,,691.57,650.76,690.67
2007-02-16 0:00,22142.81,20343.48,21028.07,,688.72,632.75,654.05
2007-01-17 0:00,21629.74,19958.37,21498.71,,672.76,620.77,668.68
2006-12-18 0:00,20720.68,19416.78,20077.35,,644.49,603.93,624.48
2006-11-18 0:00,20903.73,19743.12,19801.19,,650.18,614.08,615.89
2006-10-19 0:00,20474.72,18451.59,19990.87,,636.83,573.91,621.79
2006-09-19 0:00,19512.84,18005.21,19041.14,,606.92,560.02,592.25
2006-08-20 0:00,20592.86,18360.97,18899.88,,640.51,571.09,587.85
2006-07-21 0:00,21104.28,19382.47,19710,,656.42,602.86,613.05
2006-06-21 0:00,21749.27,18362.89,20171.41,,676.48,571.15,627.4
2006-05-22 0:00,21684.89,17459.47,18600.68,,674.48,543.05,578.55
2006-04-22 0:00,23458.63,19922.45,21143.95,,729.64,619.66,657.65
2006-03-23 0:00,20749.39,17530.39,20374.46,,645.38,545.26,633.72
2006-02-21 0:00,18342.68,17217.75,17711.23,,570.52,535.53,550.88
2006-01-22 0:00,18479.6,17243.76,17876.4,,574.78,536.34,556.02
2005-12-23 0:00,18244.62,16084.06,17806.48,,567.47,500.27,553.84
2005-11-23 0:00,17370.04,15677.36,16209.33,,540.27,487.62,504.17
2005-10-24 0:00,15905.59,14657.8,15853.37,,494.72,455.91,493.09
2005-09-24 0:00,15441.95,14751.12,15022.69,,480.3,458.81,467.26
2005-08-25 0:00,15261.79,13798.08,14913.38,,474.69,429.17,463.86
2005-07-26 0:00,14465.92,13564.37,14065.36,,449.94,421.9,437.48
2005-06-26 0:00,14174.1,13428.86,13683.84,,440.86,417.68,425.62
2005-05-27 0:00,14271.85,13297.52,14131.8,,443.9,413.6,439.55
2005-04-27 0:00,14112.64,13393.12,13434.68,,438.95,416.57,417.87
2005-03-28 0:00,14068.57,13567.03,14043.39,,437.58,421.98,436.8
2005-02-26 0:00,14376.14,13639.91,13688.13,,447.15,424.25,425.75
2005-01-27 0:00,14040.16,13197.58,13989.67,,436.7,410.49,435.13
2004-12-28 0:00,14318.79,13406.49,13714.39,,445.36,416.99,426.57
2004-11-28 0:00,14686.92,13872.73,14305.95,,456.81,431.49,444.96
2004-10-29 0:00,14614.33,13423.73,14514.13,,454.56,417.52,451.44
2004-09-29 0:00,13848.6,13152.04,13638.03,,430.74,409.07,424.19
2004-08-30 0:00,13281.69,12699.15,13267.13,,413.11,394.99,412.65
2004-07-31 0:00,13313.3,12511.19,12980.97,,414.09,389.14,403.75
2004-07-01 0:00,13154.27,12390.85,12573.06,,409.14,385.4,391.07
2004-06-01 0:00,13020.74,12571.2,12658.27,,404.99,391.01,393.72
2004-05-02 0:00,12737.4,12006.99,12713.72,,396.18,373.46,395.44
2004-04-02 0:00,13785.53,12348.32,12505.81,,428.78,384.08,388.97
2004-03-03 0:00,13883.98,12495.6,13751.91,,431.84,388.66,427.73
2004-02-02 0:00,13411.12,12569.26,12644.56,,417.13,390.95,393.29
2004-01-03 0:00,13348.64,12757.96,12932.87,,415.19,396.82,402.26
2003-12-04 0:00,13181.5,12917.87,13125.24,,409.99,401.79,408.24
2003-11-04 0:00,12966.1,12149.49,12917.87,,403.29,377.89,401.79
2003-10-05 0:00,12570.65,11903.54,12321.49,,390.99,370.24,383.24
2003-09-05 0:00,12597.98,11919.61,12353.64,,391.84,370.74,384.24
2003-08-06 0:00,12099.65,11201.06,11919.61,,376.34,348.39,370.74
2003-07-07 0:00,11754.04,11011.38,11201.06,,365.59,342.49,348.39
2003-06-07 0:00,11670.45,11043.53,11294.3,,362.99,343.49,351.29
2003-05-08 0:00,11971.05,10976.01,11670.45,,372.34,341.39,362.99
2003-04-08 0:00,11027.45,10284.79,10990.48,,342.99,319.89,341.84
2003-03-09 0:00,11395.57,10279.96,10284.79,,354.44,319.74,319.89
2003-02-07 0:00,12081.97,11062.82,11276.61,,375.79,344.09,350.74
2003-01-08 0:00,12377.75,11148.01,12081.97,,384.99,346.74,375.79
2002-12-09 0:00,11448.62,10387.67,11220.35,,356.09,323.09,348.99
2002-11-09 0:00,10472.86,10173.87,10472.86,,325.74,316.44,325.74
2002-10-10 0:00,10369.98,9990.61,10342.66,,322.54,310.74,321.69
2002-09-10 0:00,10490.55,10136.9,10267.1,,326.29,315.29,319.34
2002-08-11 0:00,10368.38,9818.61,10368.38,,322.49,305.39,322.49
