Date,Price D,3 Month D,1 Yr D,5 Yr D,10 Yr D,S&P D,US Dollar D
2017-06-01,-3.391837945,0.035670996,-0.035670996,0.008766234,0.020800866,142.7850198,-1.259994
2017-07-01,1.506082251,-0.002587992,0.06389234,-0.006335404,0.001511387,-96.74497835,-2.800003
2017-08-01,1.357929607,-0.035507246,-0.010082816,-0.064616977,-0.111987578,118.9825673,-0.190003
2017-09-01,1.674451346,0.046969697,0.11504329,0.179004329,0.155584416,-82.08875776,0.410004
2017-10-01,1.858354978,0.15,0.155,0.065909091,-0.006363636,182.862987,1.470001
2017-11-01,5.145909091,0.083982684,0.1304329,0.121277056,0.041731602,-81.28272727,-1.540001
2017-12-01,1.251926407,0.030207039,0.026563147,0.096687371,0.071035197,61.7525974,-0.889999
2018-01-01,5.594575569,0.200673913,0.219413043,0.294717391,0.356869565,9.745031056,-2.990006
2018-02-01,-1.406956522,0.139681818,0.103590909,0.0405,-0.002818182,22.68532609,1.480004
2018-03-01,0.711363636,0.13991342,0.184718615,0.191904762,0.155865801,10.02295455,-0.64
2018-04-01,3.459112554,0.028861284,0.020973085,-0.007556936,-0.020786749,73.70478355,1.869995
2018-05-01,3.572132505,0.118281573,0.153312629,0.08136646,0.064120083,-69.58784679,2.150002
2018-06-01,-2.369751553,-0.031147186,-0.049004329,-0.124350649,-0.15465368,170.3154658,0.639999
2018-07-01,3.468506494,0.168517787,0.166561265,0.116462451,0.131403162,-87.69331169,-0.139999
2018-08-01,-3.002667984,-0.015608696,-0.015652174,-0.018826087,-0.035130435,191.1608893,0.650001
2018-09-01,2.196804348,0.136478261,0.106521739,0.121,0.161217391,-101.3949348,0.050003
2018-10-01,0.565804348,-0.035296443,-0.083339921,-0.190909091,-0.181581028,29.03928261,1.939995
2018-11-01,-14.18357708,0.024199134,-0.050800866,-0.252900433,-0.270779221,-186.018419,0.14
2018-12-01,-7.932489177,0.030662526,-0.047163561,-0.110538302,-0.085031056,-276.6444589,-1.099999
2019-01-01,2.722153209,0.102956522,0.066782609,0.047847826,0.064673913,57.85853002,-0.589996
2019-02-01,3.628608696,0.137809524,0.068952381,0.009357143,0.028452381,236.4605652,0.580002
2019-03-01,3.167809524,-0.131536797,-0.176406926,-0.145584416,-0.153679654,186.8628095,1.119995
2019-04-01,5.722099567,-0.023577075,-0.075849802,-0.134664032,-0.126403162,-32.17471861,0.200004
2019-05-01,-3.14243083,-0.079195652,-0.243695652,-0.267608696,-0.216869565,-41.22083004,0.269997
2019-06-01,-6.056478261,-0.16776087,-0.118043478,-0.076304348,-0.104434783,159.5777391,-1.620003
2019-07-01,2.831695652,-0.061284585,-0.104683794,-0.26187747,-0.343201581,-24.31817391,2.39
2019-08-01,-2.669604743,-0.148073593,-0.061796537,0.003658009,-0.007792208,31.65035573,0.400001
2019-09-01,2.018051948,-0.236728778,-0.172215321,-0.031780538,0.014037267,-57.34961039,0.459999
2019-10-01,-2.878012422,-0.183271222,-0.119689441,0.024637681,0.006915114,137.526646,-2.029999
2019-11-01,3.131345756,0.071709957,0.060064935,0.122575758,0.138658009,-20.62331263,0.919999
2019-12-01,2.747251082,-0.076699605,-0.079071146,-0.179387352,-0.173399209,75.29991342,-1.879998
2020-01-01,-2.142944664,0.050108696,-0.064065217,-0.169021739,-0.175782609,-39.21007905,1
2020-02-01,-7.113282609,-1.172045455,-1.003681818,-0.665681818,-0.559,120.3067609,0.739998
2020-03-01,-20.72422727,-0.163636364,-0.155909091,-0.221363636,-0.242272727,-461.0548636,0.920006
2020-04-01,-13.07,-0.01038961,-0.022099567,-0.047121212,0.014177489,-15.96272727,-0.030006
2020-05-01,11.98748918,0.038116883,0.022554113,0.021212121,0.086731602,144.1548052,-0.680001
2020-06-01,9.507510823,-0.038241107,-0.037233202,-0.078023715,-0.132114625,324.0751948,-0.949997
2020-07-01,2.447727273,-0.017018634,-0.008654244,0.000144928,0.053478261,-36.50351779,-3.900001
2020-08-01,1.614285714,-0.000649351,-0.008658009,-0.009393939,-0.001363636,323.5526087,-1.349999
2020-09-01,-2.75474026,-0.007727273,-0.000909091,0.063181818,0.102727273,-179.1713636,1.75
2020-10-01,-0.08,-0.013528139,-0.014718615,0.030497835,0.035779221,206.1627273,0.150002
2020-11-01,1.986645022,0.001097308,-0.01010352,0.018178054,0.105900621,-38.70850649,-2.169998
2020-12-01,5.577722567,-0.007763975,-0.005134576,0.033726708,0.08505176,154.6514907,-1.930001
2021-01-01,4.846086957,-0.035214286,-0.021952381,0.112642857,0.216904762,-102.2053002,0.64
2021-02-01,7.141,-0.009195652,0.006652174,0.307543478,0.415869565,256.8214524,0.349998
2021-03-01,3.269,-0.010395257,-0.014743083,0.038774704,0.024130435,221.2477609,2.300003
2021-04-01,-0.654545455,-0.003766234,-0.012813853,-0.081341991,-0.091190476,42.43264822,-1.950004
2021-05-01,3.539307359,0.018766234,0.018722944,0.058160173,-0.024718615,16.4395671,-1.440003
2021-06-01,6.142965368,0.014090909,0.005454545,-0.109090909,-0.260454545,269.1090693,2.600006
2021-07-01,1.204090909,0.004545455,0.001363636,0.042727273,0.024545455,-73.12727273,-0.270004
2021-08-01,-4.854545455,-0.014545455,0,0.052272727,0.029090909,288.8440909,0.459999
2021-09-01,3.733181818,0.00952381,0.033982684,0.228787879,0.19487013,-210.7331818,1.620003
2021-10-01,9.862402597,-0.002705628,0.055108225,0.039848485,-0.089415584,217.233961,-0.129997
2021-11-01,-2.217857143,0.009268775,0.123359684,0.082905138,-0.016422925,-5.474415584,1.869995
