Date,Price D,3 Month D,1 Yr D,5 Yr D,10 Yr D,US Dollar D
1997-10-01,1.48,-0.14,-0.31,-0.45,-0.48,-1.47
1997-11-01,-1.15,0.32,0.37,0.30,0.27,2.15
1997-12-01,-1.80,-0.37,-0.52,-0.60,-0.52,1.86
1998-01-01,-1.60,0.26,0.28,0.29,0.26,1.14
1998-02-01,-0.64,0.19,0.35,0.39,0.35,-0.97
1998-03-01,-0.95,-0.31,-0.26,-0.26,-0.27,1.68
1998-04-01,0.21,0.04,0.05,0.00,0.00,-1.79
1998-05-01,-0.42,0.23,0.23,0.16,0.11,0.74
1998-06-01,-1.19,-0.25,-0.28,-0.30,-0.27,0.72
1998-07-01,0.41,0.17,0.08,0.05,0.12,0.03
1998-08-01,-0.72,-0.52,-0.71,-0.86,-0.75,-1.00
1998-09-01,1.58,-0.64,-0.56,-0.42,-0.26,-4.03
1998-10-01,-0.56,0.21,0.16,0.11,0.04,-2.44
1998-11-01,-1.46,0.20,0.23,0.15,0.08,2.47
1998-12-01,-1.65,-0.28,-0.24,-0.09,-0.17,-2.03
1999-01-01,1.03,0.30,0.38,0.51,0.48,1.91
1999-02-01,-0.35,0.24,0.31,0.47,0.48,2.60
1999-03-01,2.37,-0.16,-0.09,-0.06,-0.05,1.42
1999-04-01,2.87,0.00,-0.07,0.10,0.09,0.90
1999-05-01,0.52,0.30,0.48,0.63,0.62,1.51
1999-06-01,-0.03,-0.24,-0.29,-0.39,-0.37,0.34
1999-07-01,2.17,0.40,0.39,0.42,0.41,-3.10
1999-08-01,1.28,-0.27,-0.18,-0.30,-0.29,0.20
1999-09-01,2.35,0.18,0.16,0.21,0.17,-1.41
1999-10-01,-0.58,-0.03,-0.12,-0.32,-0.34,0.52
1999-11-01,2.12,0.37,0.54,0.49,0.52,2.93
1999-12-01,0.96,0.11,0.24,0.35,0.34,-0.12
2000-01-01,1.22,0.22,0.09,0.09,-0.13,3.26
2000-02-01,1.97,0.41,0.30,0.14,0.05,0.79
2000-03-01,0.71,-0.33,-0.38,-0.55,-0.57,-0.48
2000-04-01,-4.14,0.20,0.21,0.45,0.47,4.70
2000-05-01,3.00,0.13,0.12,-0.10,-0.06,-1.40
2000-06-01,3.08,-0.01,-0.38,-0.42,-0.33,-1.90
2000-07-01,-1.89,0.43,0.39,0.18,0.06,2.73
2000-08-01,1.34,-0.40,-0.35,-0.41,-0.30,3.03
2000-09-01,2.58,0.13,-0.09,-0.13,-0.05,0.65
2000-10-01,-0.84,0.06,0.08,-0.08,-0.02,3.40
2000-11-01,1.32,-0.41,-0.48,-0.52,-0.47,-1.41
2000-12-01,-5.97,-0.83,-0.94,-0.49,-0.28,-5.68
2001-01-01,1.12,-0.07,0.05,0.21,0.13,0.96
2001-02-01,0.05,-0.22,-0.15,0.00,0.04,1.49
2001-03-01,-2.33,-0.76,-0.51,-0.11,0.01,5.36
2001-04-01,0.13,-0.23,-0.17,0.18,0.26,-1.52
2001-05-01,1.24,0.02,-0.04,0.09,0.13,3.22
2001-06-01,-1.05,-0.14,-0.12,-0.26,-0.29,0.36
2001-07-01,-1.12,0.01,0.02,0.03,-0.03,-2.25
2001-08-01,1.01,-1.15,-1.07,-1.08,-0.95,-3.76
2001-09-01,-1.86,-0.19,-0.17,0.24,0.35,0.06
2001-10-01,-3.41,-0.37,-0.25,-0.13,-0.14,1.38
2001-11-01,-2.59,-0.10,0.13,0.57,0.62,1.27
2001-12-01,-0.28,-0.10,-0.14,-0.22,-0.25,0.62
2002-01-01,0.38,0.13,0.15,0.12,0.07,3.49
2002-02-01,1.03,0.07,0.32,0.43,0.37,-1.08
2002-03-01,3.66,0.01,0.03,0.13,0.18,-0.54
2002-04-01,1.86,-0.06,-0.22,-0.35,-0.27,-3.43
2002-05-01,0.80,0.05,-0.06,-0.11,-0.01,-3.38
2002-06-01,-1.53,-0.09,-0.32,-0.54,-0.48,-5.70
2002-07-01,1.41,0.01,-0.12,-0.35,-0.19,1.30
2002-08-01,1.45,-0.07,-0.12,-0.50,-0.57,-0.43
2002-09-01,1.30,-0.04,-0.06,0.02,0.08,-0.11
2002-10-01,-0.82,-0.40,-0.23,-0.05,-0.11,-0.23
2002-11-01,-2.29,0.02,0.03,0.13,0.19,-0.23
2002-12-01,2.88,-0.07,-0.14,-0.11,-0.15,-4.56
2003-01-01,3.48,0.04,-0.01,-0.03,0.01,-1.94
2003-02-01,2.94,0.02,0.01,0.03,0.10,-0.20
2003-03-01,-2.54,-0.05,-0.03,0.01,-0.03,-0.65
2003-04-01,-4.99,-0.06,-0.08,-0.39,-0.37,-1.87
2003-05-01,-0.13,-0.10,-0.12,-0.14,-0.07,-3.92
2003-06-01,2.51,-0.06,0.06,0.48,0.47,1.46
2003-07-01,0.02,0.09,0.24,0.62,0.64,2.16
2003-08-01,0.85,-0.06,-0.13,-0.33,-0.37,1.21
2003-09-01,-3.15,-0.01,0.02,0.01,0.02,-5.25
2003-10-01,1.89,-0.04,0.00,-0.09,-0.23,-0.12
