Month,WTI Price,Saudi D,Iraq D,Iran D,UAE D,Kuwait D,Big5 D,Total D,WTI Price D
2020-11-01,39.52954545,0,-0.04,-0.05,-0.07,0,-0.16,-0.064856,-1.98664503
2020-10-01,39.60954545,0,0.03,-0.05,-0.09,-0.01,-0.12,-0.065056,0.08
2020-09-01,42.36428571,0,-0.14,0,0.08,0,-0.06,-0.974657,2.75474026
2020-08-01,40.75,-0.11,-0.02,0,0.2,0,0.07,0.815142,-1.61428571
2020-07-01,38.30227273,-0.5,0.01,0,-0.25,-0.13,-0.87,-0.034855,-2.44772727
2020-06-01,28.7947619,-0.7,0.05,0.05,-0.1,-0.07,-0.77,-0.622228,-9.50751083
2020-05-01,16.80727273,0.85,0.47,0.025,0.15,0.11,1.605,0.36,-11.98748917
2020-04-01,29.87727273,3.05,0.28,0,1.3,0.8,5.43,-0.755,13.07
2020-03-01,50.6015,-1.8,0,0.025,-0.3,-0.1,-2.175,0.04,20.72422727
2020-02-01,57.71478261,-0.05,0.15,0.05,-0.3,-0.19,-0.34,-0.115,7.11328261
2020-01-01,59.85772727,0.1,-0.1,-0.05,0,0,-0.05,-0.37,2.14294466
2019-12-01,57.11047619,-0.1,0,0,-0.05,0,-0.15,-0.27,-2.74725108
2019-11-01,53.97913043,0.15,0.1,0,0.1,-0.01,0.34,-0.4,-3.13134576
2019-10-01,56.85714286,-0.05,0.1,0.1,-0.05,0,0.1,0.015,2.87801243
2019-09-01,54.83909091,-1.35,-0.1,0,-0.05,0,-1.5,-0.705,-2.01805195
2019-08-01,57.50869565,1.35,0.1,0,0,0,1.45,-0.553,2.66960474
2019-07-01,54.677,-0.1,-0.05,0,-0.05,0,-0.2,-0.467,-2.83169565
2019-06-01,60.73347826,0.25,0,0.1,0.05,0.02,0.42,0.03,6.05647826
2019-05-01,63.87590909,-0.1,0,0.1,-0.05,0,-0.05,-0.15,3.14243083
2019-04-01,58.15380952,-0.05,0,0.2,0,0,0.15,0.44,-5.72209957
2019-03-01,54.986,0,-0.08,0.1,0,0,0.02,-0.06,-3.16780952
2019-02-01,51.3573913,0.25,0.16,0.05,0.05,0.03,0.54,-0.185,-3.6286087
2019-01-01,48.6352381,-0.05,0.07,0,-0.05,0,-0.03,-0.75,-2.7221532
2018-12-01,56.56772727,0.45,-0.05,-0.05,0.08,0.05,0.48,-0.345,7.93248917
2018-11-01,70.75130435,0.5,-0.03,0.1,-0.04,0,0.53,-0.035,14.18357708
2018-10-01,70.1855,-0.28,-0.04,0.7,-0.14,0,0.24,-0.965,-0.56580435
2018-09-01,67.98869565,-0.2,-0.03,0,-0.05,0,-0.28,-0.625,-2.19680435
2018-08-01,70.99136364,-0.1,-0.025,0.12,0,0,-0.005,1.96,3.00266799
2018-07-01,67.52285714,0.06,-0.071,0.202,-0.04,0,0.151,5.865,-3.4685065
2018-06-01,69.8926087,-0.06,-0.03,0.058,-0.03,-0.08,-0.142,-1.985,2.36975156
2018-05-01,66.32047619,-0.3,-0.084,0.025,-0.04,-0.01,-0.409,-0.24,-3.57213251
2018-04-01,62.86136364,-0.06,-0.05,0.02,0.02,0,-0.07,0.72,-3.45911255
2018-03-01,62.15,-0.01,0.04,-0.01,-0.01,0.01,0.02,0.235,-0.71136364
2018-02-01,63.55695652,0.05,-0.01,0.02,0.02,-0.01,0.07,0.099586,1.40695652
2018-01-01,57.96238095,0.06,-0.04,0.005,0.04,0,0.065,0.140414,-5.59457557
2017-12-01,56.71045455,-0.1,-0.05,-0.01,-0.01,-0.01,-0.18,-1.46,-1.2519264
2017-11-01,51.56454545,0.05,-0.06,0.01,-0.02,0.01,-0.01,1.56,-5.1459091
2017-10-01,49.70619048,0.05,0.07,0.01,0.03,0.03,0.19,-0.24,-1.85835497
2017-09-01,48.03173913,0.03,0.15,-0.01,0.01,-0.01,0.17,0.42,-1.67445135
2017-08-01,46.67380952,-0.05,-0.04,-0.01,0,-0.02,-0.12,-0.09,-1.35792961
2017-07-01,45.16772727,0.06,-0.025,0,0,0,0.035,0.32,-1.50608225
2017-06-01,48.55956522,0.05,-0.01,-0.01,0,0.01,0.04,-0.06,3.39183795
2017-05-01,51.168,-0.2,-0.015,-0.01,-0.02,-0.01,-0.255,0.496,2.60843478
2017-04-01,49.58478261,-0.07,-0.05,0,-0.02,0,-0.14,0.065,-1.58321739
2017-03-01,53.4015,-0.03,0.005,0,0.02,0,-0.005,0.66,3.81671739
2017-02-01,52.55954545,0.05,0.015,-0.01,0.02,0.01,0.085,0.78,-0.84195455
2017-01-01,52.01363636,-0.02,0.12,0,0.02,0.06,0.18,0.245,-0.54590909
2016-12-01,45.62318182,0.52,0.12,-0.02,0.16,0.14,0.92,-0.175,-6.39045454
2016-11-01,49.8852381,0.1,-0.04,-0.06,0,0,0,-0.136,4.26205628
2016-10-01,45.16727273,-0.05,-0.08,-0.02,-0.03,-0.01,-0.19,-0.244,-4.71796537
2016-09-01,44.74913043,0.01,-0.085,-0.01,0.02,0,-0.065,-0.057,-0.4181423
2016-08-01,44.89190476,0.04,-0.02,-0.02,-0.03,0,-0.03,-0.001,0.14277433
2016-07-01,48.74863636,0.03,-0.045,-0.02,-0.03,-0.01,-0.075,0.115,3.8567316
2016-06-01,46.84590909,-0.13,-0.01,-0.02,-0.02,-0.04,-0.22,0.066,-1.90272727
2016-05-01,40.96285714,-0.2,-0.05,-0.01,-0.03,0,-0.29,0.177,-5.88305195
2016-04-01,37.77391304,-0.1,0.12,-0.03,-0.18,-0.21,-0.4,0.17,-3.1889441
