Date,WTI - D,OPEC production - D,Saudi Prod - D
2004-12-01,-5.246976285,0.2,0
2005-01-01,3.620807453,-0.05,0
2005-02-01,1.087714286,0.05,0
2005-03-01,6.061043478,0.05,0
2005-04-01,-1.080186335,0.15,0.1
2005-05-01,-3.056493506,-0.2,0
2005-06-01,6.482727273,0.1,0
2005-07-01,2.280909091,0.2,0
2005-08-01,6.285652174,-0.05,0
2005-09-01,0.674802372,0.25,0
2005-10-01,-3.266645022,-0.35,-0.1
2005-11-01,-4.064718615,-0.1,0
2005-12-01,1.061363636,-0.1,0
2006-01-01,5.85,-0.15,-0.1
2006-02-01,-3.681954545,0.2,0.1
2006-03-01,1.361065217,-0.125,-0.15
2006-04-01,6.641934783,0,0
2006-05-01,1.420673913,-0.2,-0.15
2006-06-01,-0.020355731,0.175,-0.1
2006-07-01,3.427229437,0.35,0.2
2006-08-01,-1.317308489,0,0
2006-09-01,-8.966977226,-0.35,-0.3
2006-10-01,-5.224307359,-0.25,-0.2
2006-11-01,0.217272727,-0.3,0
2006-12-01,2.92465368,-0.1,-0.05
2007-01-01,-7.214554865,-0.25,0
2007-02-01,4.479173913,0.03,-0.15
2007-03-01,1.344818182,0.09,0
2007-04-01,3.351038961,0.05,0
2007-05-01,-0.445465839,0,0
2007-06-01,3.984513458,-0.1,0
2007-07-01,6.525822511,0.075,0
2007-08-01,-1.639466403,-0.045,0
2007-09-01,7.23473913,0.55,0.2
2007-10-01,6.290913043,0.1,0
2007-11-01,9.000632411,-0.28,0.2
2007-12-01,-3.145497835,0.58,0.1
2008-01-01,1.243561077,0.15,0.1
2008-02-01,2.386915114,0.2,0
2008-03-01,9.955238095,0,0
2008-04-01,7.273874459,-0.1,-0.1
2008-05-01,13.03681818,0.4,0.3
2008-06-01,8.271688312,0.05,0.05
2008-07-01,-0.031490683,0.4,0.25
2008-08-01,-17.25517598,-0.15,-0.1
2008-09-01,-12.18002165,-0.33,-0.2
2008-10-01,-27.84567194,-0.05,0
2008-11-01,-19.46378261,-0.67,-0.45
2008-12-01,-16.50230435,-0.45,-0.45
2009-01-01,0.982213439,-0.95,-0.4
2009-02-01,-2.562409091,0,-0.05
2009-03-01,8.906954545,0.05,0
2009-04-01,1.944090909,0.05,0
2009-05-01,9.295692641,0.05,0
2009-06-01,10.40612554,0.25,0.25
2009-07-01,-5.387450593,0.25,0.2
2009-08-01,6.826086957,-0.1,-0.1
2009-09-01,-1.681363636,-0.1,-0.1
2009-10-01,6.393636364,-0.05,0
2009-11-01,2.178203463,-0.05,0
2009-12-01,-3.347432712,-0.1,-0.1
2010-01-01,3.783146998,-0.09,-0.09
2010-02-01,-2.087190476,0.05,0.05
2010-03-01,4.951434783,-0.11,-0.01
2010-04-01,3.245019763,0.05,0.05
2010-05-01,-10.75402597,-0.09,-0.09
2010-06-01,1.612207792,0.12,0.07
2010-07-01,0.805454545,-0.1,0
2010-08-01,0.442727273,0.01,0.01
2010-09-01,-1.341818182,0.04,-0.01
2010-10-01,6.63952381,-0.01,-0.01
2010-11-01,2.292294372,0.05,0.05
2010-12-01,5.031660079,0.2,0.05
2011-01-01,0.286521739,0.61,0.41
2011-02-01,-0.144,0.32,0.42
2011-03-01,13.55008696,0,-0.2
2011-04-01,7.126770186,0.2,0
2011-05-01,-8.791493506,0.05,0
2011-06-01,-4.997272727,0.7,0.7
2011-07-01,0.939718615,0.2,0.2
2011-08-01,-10.87250518,0.15,0.1
2011-09-01,-0.704486166,-0.1,-0.2
2011-10-01,0.789372294,-0.25,-0.2
2011-11-01,10.66017316,0.3,0.3
2011-12-01,1.545909091,-0.05,0
2012-01-01,1.536363636,-0.1,0
2012-02-01,2.114220779,0.05,0.2
2012-03-01,3.887597403,0.18,-0.01
2012-04-01,-2.866168831,-0.01,-0.1
2012-05-01,-8.777329193,-0.315,-0.2
2012-06-01,-12.14743271,0.155,0.29
2012-07-01,5.530930736,-0.06,-0.005
2012-08-01,6.219980237,0.05,0
2012-09-01,0.495565217,-0.13,-0.215
2012-10-01,-5.088608696,-0.25,0
2012-11-01,-2.82784585,-0.07,-0.26
2012-12-01,1.501883117,-0.42,-0.3
2013-01-01,6.461180124,-0.15,-0.1
2013-02-01,0.642391304,0,0
2013-03-01,-2.176904762,0,0
2013-04-01,-1.099004329,0.4,0.3
2013-05-01,2.699604743,0.1,0.2
2013-06-01,1.070804348,0.225,0.2
2013-07-01,8.755717391,0.2,0.2
2013-08-01,2.001146245,0.375,0.2
2013-09-01,-0.232554113,-0.55,-0.1
2013-10-01,-5.813374741,-0.15,-0.3
2013-11-01,-6.68805383,0,0
2013-12-01,4.089891775,-0.03,0
2014-01-01,-2.905750988,0.35,0.1
2014-02-01,5.707478261,0.25,-0.05
2014-03-01,-0.130666667,-0.25,-0.2
2014-04-01,1.60530303,-0.225,0
2014-05-01,-0.175454545,0.325,0
2014-06-01,3.238722944,0,0
2014-07-01,-2.255817805,0.07,0.15
2014-08-01,-6.604658385,0.01,-0.1
2014-09-01,-3.032337662,0.09,-0.1
2014-10-01,-8.949090909,0.01,0.1
2014-11-01,-8.6985,-0.11,-0.1
2014-12-01,-16.60193478,0.39,0
2015-01-01,-11.49592885,-0.22,0
2015-02-01,3.113863636,-0.04,0.1
2015-03-01,-2.933863636,0.81,0.4
2015-04-01,6.42,0.1,0
2015-05-01,5.058744589,0.37,0.2
2015-06-01,0.542164502,0.51,0.15
2015-07-01,-8.642806324,-0.01,-0.09
2015-08-01,-8.298405797,-0.16,-0.11
2015-09-01,2.618030303,0.2,0
2015-10-01,0.715,-0.24,-0.05
2015-11-01,-3.543982684,0.09,-0.1
2015-12-01,-5.411076605,0.07,0
2016-01-01,-5.536542443,0.495,0.1
2016-02-01,-1.356190476,-0.36,0
2016-03-01,7.425341615,0.345,0
2016-04-01,3.188944099,0.12,0
2016-05-01,5.883051948,0.4,0.1
2016-06-01,1.902727273,0.29,0.2
2016-07-01,-3.856731602,0.22,0.13
2016-08-01,-0.142774327,0.075,-0.03
2016-09-01,0.418142292,0.03,-0.04
2016-10-01,4.717965368,0.065,-0.01
2016-11-01,-4.262056277,0.19,0.05
2016-12-01,6.390454545,0,-0.1
2017-01-01,0.545909091,-0.92,-0.52
2017-02-01,0.841954545,-0.18,0.02
2017-03-01,-3.816717391,-0.085,-0.05
2017-04-01,1.583217391,0.005,0.03
2017-05-01,-2.608434783,0.14,0.07
2017-06-01,-3.391837945,0.255,0.2
2017-07-01,1.506082251,-0.04,-0.05
2017-08-01,1.357929607,-0.035,-0.06
2017-09-01,1.674451346,0.12,0.05
2017-10-01,1.858354978,-0.17,-0.03
2017-11-01,5.145909091,-0.19,-0.05
2017-12-01,1.251926407,0.01,-0.05
2018-01-01,5.594575569,0.18,0.1
2018-02-01,-1.406956522,-0.065,-0.06
2018-03-01,0.711363636,-0.07,-0.05
2018-04-01,3.459112554,-0.02,0.01
2018-05-01,3.572132505,0.07,0.06
2018-06-01,-2.369751553,0.409,0.3
2018-07-01,3.468506494,0.142,0.06
2018-08-01,-3.002667984,-0.151,-0.06
2018-09-01,2.196804348,0.005,0.1
2018-10-01,0.565804348,0.28,0.2
2018-11-01,-14.18357708,-0.24,0.28
2018-12-01,-7.932489177,-0.53,-0.5
2019-01-01,2.722153209,-0.48,-0.45
2019-02-01,3.628608696,0.03,0.05
2019-03-01,3.167809524,-0.54,-0.25
2019-04-01,5.722099567,-0.02,0
2019-05-01,-3.14243083,-0.15,0.05
2019-06-01,-6.056478261,0.05,0.1
2019-07-01,2.831695652,-0.42,-0.25
2019-08-01,-2.669604743,0.2,0.1
2019-09-01,2.018051948,-1.45,-1.35
2019-10-01,-2.878012422,1.5,1.35
2019-11-01,3.131345756,-0.1,0.05
2019-12-01,2.747251082,-0.34,-0.15
2020-01-01,-2.142944664,0.15,0.1
2020-02-01,-7.113282609,0.05,-0.1
2020-03-01,-20.72422727,0.34,0.05
2020-04-01,-13.07,2.175,1.8
2020-05-01,11.98748918,-5.43,-3.05
2020-06-01,9.507510823,-1.605,-0.85
2020-07-01,2.447727273,0.77,0.7
2020-08-01,1.614285714,0.87,0.5
2020-09-01,-2.75474026,-0.07,0.11
2020-10-01,-0.08,0.06,0
2020-11-01,1.986645022,0.12,0
2020-12-01,5.577722567,0.16,0
2021-01-01,4.846086957,0.2,0.09
2021-02-01,7.141,-0.66,-0.9
2021-03-01,3.269,0.1,-0.05
2021-04-01,-0.654545455,0.15,0
2021-05-01,3.539307359,0.392,0.332
2021-06-01,6.142965368,0.538,0.465
2021-07-01,1.204090909,0.62,0.503
2021-08-01,-4.854545455,0.205,0.1
2021-09-01,3.733181818,0.19,0.1
2021-10-01,9.862402597,,0.15
